project,cpt_id,z_top_m,z_bot_m,z_mid_m,gwl_m,geo_age,test_method,qc_mpa,fs_mpa,u2_mpa,rf_pct,vs_meas_mps,qt_mpa,z_above_gwl_m,z_below_gwl_m,gamma_sat_kn_m3,gamma_unsat_kn_m3,sigma_v_kpa,u0_kpa,sigma_eff_kpa,bq,log_vs_meas,group_project,group_cpt
Hungaria krt,CPT5,6.9,7.4,7.15,6.8,Quaternary,MASW,27.688,0.0834057692307692,0.0235,0.3012343586780165,307.6345446313491,27.69505,0.0,0.35000000000000053,20.807310386806137,19.807310386806137,141.9722692656639,3.4335000000000053,138.5387692656639,0.0007282852462473415,5.728912535068903,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,7.4,8.0,7.7,6.8,Quaternary,MASW,17.07470967741935,0.4759209677419354,0.0402258064516129,2.787285855708122,469.3785994440153,17.086777419354835,0.0,0.9000000000000004,23.01576205375325,22.01576205375325,170.42136781390002,8.829000000000004,161.5923678139,0.0018560029332530463,6.1514096910781095,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,8.0,10.0,9.0,6.8,Tertiary,MASW,7.06483168316832,0.2252750495049505,0.0826930693069307,3.188682471256312,236.95193333557484,7.089639603960399,0.0,2.2,21.76374753001044,20.76374753001044,189.07372777009397,21.582000000000004,167.49172777009397,0.008855950425426437,5.467857307635744,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,10.0,12.0,11.0,6.8,Tertiary,MASW,8.144524752475249,0.3209235643564356,0.0816633663366337,3.940359617163689,232.340247034248,8.16902376237624,0.0,4.2,22.312023679580964,21.312023679580964,238.6322604753906,41.202000000000005,197.4302604753906,0.005102064170089893,5.4482028793293535,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,12.0,14.0,13.0,6.8,Tertiary,MASW,9.842594059405938,0.3992600990099009,0.0735940594059406,4.056451953622466,242.56775610640275,9.86467227722772,0.0,6.2,22.687352490894096,21.687352490894096,288.13558238162324,60.822,227.31358238162323,0.0013336825005656027,5.491281077975118,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,14.0,16.0,15.0,6.8,Tertiary,MASW,6.62870297029703,0.2589818811881187,0.0676336633663366,3.906976709449901,301.8585277306017,6.648993069306931,0.0,8.2,22.005174313280385,21.005174313280385,323.27761469920574,80.442,242.83561469920573,-0.0020248044234006226,5.709958456394143,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,16.0,18.0,17.0,6.8,Tertiary,MASW,6.782059405940594,0.2561254455445543,0.0558712871287128,3.7765143330978046,349.3932717135017,6.7988207920792085,0.0,10.2,22.01495511314014,21.01495511314014,367.4542369233824,100.062,267.39223692338237,-0.0068711233440521095,5.85619814082737,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,18.0,19.62,18.81,6.8,Tertiary,MASW,9.143573170731711,0.3387679268292684,0.0538902439024389,3.704984041836662,368.9090098180544,9.159740243902442,0.0,12.009999999999998,22.49656360081775,21.49656360081775,416.3603613313818,117.81809999999999,298.54226133138184,-0.007311572521856685,5.910550027774304,Hungaria krt,Hungaria krt__CPT5
Futo u,CPT1,2.0,3.0,2.5,4.6,Quaternary,SCPT,6.505235294117647,0.2719272549019607,0.028078431372549,4.180129428183032,261.0,6.513658823529411,2.0999999999999996,0.0,21.807801197225977,20.807801197225977,52.01950299306495,0.0,52.01950299306495,0.004345403693968229,5.564520407322694,Futo u,Futo u__CPT1
Futo u,CPT1,3.0,3.9,3.45,4.6,Quaternary,SCPT,14.69221739130435,0.1486432608695652,0.0132826086956521,1.0117142764137177,350.0,14.696202173913044,1.1499999999999995,0.0,21.288174078637265,20.288174078637265,69.99420057129856,0.0,69.99420057129856,0.0009081375514324329,5.857933154483459,Futo u,Futo u__CPT1
Futo u,CPT1,3.9,4.8,4.35,4.6,Quaternary,SCPT,9.06060869565217,0.09243,0.0360652173913043,1.0201301381037848,195.0,9.071428260869562,0.25,0.0,20.535094578495297,19.535094578495297,84.97766141645454,0.0,84.97766141645454,0.0040132883380563115,5.272999558563747,Futo u,Futo u__CPT1
Futo u,CPT1,4.8,5.7,5.25,4.6,Quaternary,SCPT,19.78271739130435,0.1560015217391303,0.0300869565217391,0.7885747880506148,350.0,19.79174347826087,0.0,0.6500000000000004,21.503890795275208,20.503890795275208,108.29542667519485,6.376500000000004,101.91892667519484,0.0012045885690149197,5.857933154483459,Futo u,Futo u__CPT1
Futo u,CPT1,6.2,7.1,6.65,4.6,Quaternary,SCPT,44.35186956521739,0.1190482608695652,0.0174782608695652,0.2684176834857214,310.0,44.357113043478265,0.0,2.0500000000000007,21.41914690533901,20.41914690533901,137.83732692050444,20.11050000000001,117.72682692050444,-5.952696166502733e-05,5.736572297479192,Futo u,Futo u__CPT1
Futo u,CPT1,7.1,8.0,7.55,4.6,Quaternary,SCPT,39.66117391304349,0.1561717391304347,0.0157173913043478,0.3937647924210183,446.0,39.6658891304348,0.0,2.95,21.768782114161542,20.768782114161542,159.75430496191964,28.939500000000002,130.81480496191963,-0.00033468494840266713,6.100318952020064,Futo u,Futo u__CPT1
Futo u,CPT1,8.0,9.0,8.5,4.6,Tertiary,SCPT,7.107960784313726,0.2316574509803921,0.0677058823529411,3.25912674548835,284.0,7.128272549019608,0.0,3.9000000000000004,21.79482070036823,20.79482070036823,180.65597595312997,38.25900000000001,142.39697595312995,0.004238415007975043,5.648974238161206,Futo u,Futo u__CPT1
Futo u,CPT1,9.0,10.0,9.5,4.6,Tertiary,SCPT,6.787980392156865,0.2195717647058823,0.0397843137254902,3.2347141862634925,243.0,6.799915686274512,0.0,4.9,21.724288385448915,20.724288385448915,201.7807396617647,48.069,153.71173966176468,-0.0012556103113293964,5.493061443340548,Futo u,Futo u__CPT1
Futo u,CPT1,10.0,11.0,10.5,4.6,Tertiary,SCPT,10.035019607843138,0.25908,0.0417058823529411,2.5817587819909105,333.0,10.04753137254902,0.0,5.9,22.080079082316075,21.080079082316075,227.2408303643188,57.879000000000005,169.3618303643188,-0.0016469082638221925,5.808142489980444,Futo u,Futo u__CPT1
Futo u,CPT1,11.0,12.0,11.5,4.6,Tertiary,SCPT,11.949960784313726,0.369160588235294,0.0355294117647058,3.0892200811225887,276.0,11.960619607843135,0.0,6.9,22.622825383159675,21.622825383159675,255.56249190633628,67.68900000000001,187.87349190633626,-0.0027474951994474186,5.62040086571715,Futo u,Futo u__CPT1
Futo u,CPT1,12.0,13.0,12.5,4.6,Tertiary,SCPT,29.433196078431365,0.4173450980392155,0.0844313725490196,1.4179401276270025,430.0,29.45852549019607,0.0,7.9,23.073963489940333,22.073963489940333,283.82454362425415,77.49900000000001,206.32554362425412,0.00023761589062095187,6.063785208687608,Futo u,Futo u__CPT1
Futo u,CPT1,13.0,14.0,13.5,4.6,Tertiary,SCPT,8.728117647058824,0.279961568627451,0.4999019607843136,3.207582435850777,366.0,8.878088235294118,0.0,8.9,22.182838859914014,21.182838859914014,294.8683246088392,87.30900000000001,207.55932460883918,0.04806971801697346,5.902633333401366,Futo u,Futo u__CPT1
Futo u,CPT1,14.0,15.0,14.5,4.6,Tertiary,SCPT,7.980392156862746,0.2778127450980393,0.9656078431372548,3.4811916461916472,341.0,8.270074509803923,0.0,9.9,22.161139750390927,21.161139750390927,316.73652638066847,97.11900000000001,219.61752638066844,0.10919803043041837,5.831882477283517,Futo u,Futo u__CPT1
Futo u,CPT1,15.0,16.0,15.5,4.6,Tertiary,SCPT,9.172333333333333,0.2947658823529412,1.519666666666667,3.2136411929310014,435.0,9.628233333333332,0.0,10.9,22.296671450626725,21.296671450626725,340.9984074847142,106.929,234.06940748471422,0.15211606877033731,6.075346031088684,Futo u,Futo u__CPT1
Futo u,CPT1,16.0,17.0,16.5,4.6,Tertiary,SCPT,10.55386274509804,0.3472723529411766,1.5363137254901964,3.290476305488002,369.0,11.0147568627451,0.0,11.9,22.56722979196261,21.56722979196261,367.75929156738306,116.739,251.02029156738305,0.1333309898870551,5.910796644040527,Futo u,Futo u__CPT1
